team,season,week,rating,games_played,hfa,solver_version,last_updated,ratings_sum
South Alabama,2025,15,11.816273735930533,78,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Buffalo,2025,15,11.757005415366722,74,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Kennesaw State,2025,15,11.437565255692096,20,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
New Mexico,2025,15,11.362197668534952,79,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Ashland,2025,15,11.149782837855637,1,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Central Michigan,2025,15,11.11845329051306,75,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Southern Miss,2025,15,11.086587800967232,81,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
John Carroll University,2025,15,10.663112295812747,2,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
West Florida,2025,15,10.650032712831534,1,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Georgia State,2025,15,10.515344359662937,75,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Eastern Michigan,2025,15,10.450265675148195,82,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Harding University,2025,15,10.400235587488488,2,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Delaware,2025,15,10.360714722528238,12,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Bethel (MN),2025,15,10.299749265521443,1,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Stephen F. Austin,2025,15,10.25514500889115,12,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Tennessee Tech,2025,15,10.142685324842127,11,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
SE Louisiana,2025,15,9.595143433572863,11,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Berry College,2025,15,9.5539162019131,1,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Youngstown State,2025,15,9.52506693203119,11,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Coastal Carolina,2025,15,9.475167472449453,72,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Illinois State,2025,15,9.47221573334364,12,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
New Mexico State,2025,15,9.185517938072383,65,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
UConn,2025,15,9.155161999678961,73,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Lehigh,2025,15,9.1251127422218,12,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
UC Davis,2025,15,9.022351802785307,11,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Florida International,2025,15,8.898222107910867,77,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
South Dakota State,2025,15,8.675295831741144,12,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
South Dakota,2025,15,8.644934870661487,12,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
