id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,venueId,venue,homeId,homeTeam,homeConference,homeClassification,homePregameElo,awayId,awayTeam,awayConference,awayClassification,awayPregameElo,highlights,attendance,homePoints,homeLineScores,homePostgameWinProbability,homePostgameElo,awayPoints,awayLineScores,awayPostgameWinProbability,awayPostgameElo,excitementIndex,notes,fetched_at_utc
401767647,2025,13,regular,2025-11-22 18:00:00+00:00,False,False,False,True,4416,Spec Martin Municipal Stadium,56,Stetson,Pioneer,fcs,,301,San Diego,Pioneer,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401767725,2025,13,regular,2025-11-22 18:00:00+00:00,False,False,False,True,3722,Fitton Field,107,Holy Cross,Patriot,fcs,,46,Georgetown,Patriot,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401767770,2025,13,regular,2025-11-22 18:00:00+00:00,False,False,False,True,6075,W.B. Mason Stadium,284,Stonehill,NEC,fcs,,2598,St. Francis (PA),NEC,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401761657,2025,13,regular,2025-11-22 18:00:00+00:00,False,False,False,True,3608,Allen E. Paulson Stadium,290,Georgia Southern,Sun Belt,fbs,1314.0,295,Old Dominion,Sun Belt,fbs,1564.0,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401788996,2025,13,regular,2025-11-22 18:00:00+00:00,False,False,False,True,3730,Franklin Field,219,Pennsylvania,Ivy,fcs,,163,Princeton,Ivy,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401767564,2025,13,regular,2025-11-22 18:00:00+00:00,False,False,False,True,5400,William B. Greene Jr. Stadium,2193,East Tennessee State,Southern,fcs,,2643,The Citadel,Southern,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401767445,2025,13,regular,2025-11-22 18:00:00+00:00,False,False,False,True,3744,Hancock Stadium,2287,Illinois State,MVFC,fcs,,79,Southern Illinois,MVFC,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401767633,2025,13,regular,2025-11-22 18:00:00+00:00,False,False,False,True,3627,Bailey Memorial Stadium,2506,Presbyterian,Pioneer,fcs,,2368,Marist,Pioneer,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401767671,2025,13,regular,2025-11-22 18:00:00+00:00,False,False,False,True,3617,Andy Kerr Stadium,2142,Colgate,Patriot,fcs,,2083,Bucknell,Patriot,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401767148,2025,13,regular,2025-11-22 18:00:00+00:00,False,False,False,True,3781,Johnny Unitas Stadium,119,Towson,CAA,fcs,,2097,Campbell,CAA,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
