id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores,home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_points,away_line_scores,away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes,fetched_at_utc
401761658,2025,13,,,,,,,,Hancock Whitney Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401752782,2025,13,,,,,,,,FirstBank Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767515,2025,13,,,,,,,,Fargodome,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767394,2025,13,,,,,,,,Camping World Stadium,,,,,,,,,,,,,,,,,,,Florida Classic,2025-11-14T17:05:30.742659+00:00
401767378,2025,13,,,,,,,,Mississippi Veterans Memorial Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401754604,2025,13,,,,,,,,Notre Dame Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767134,2025,13,,,,,,,,Aggie Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401756959,2025,13,,,,,,,,FBC Mortgage Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401761660,2025,13,,,,,,,,Veterans Memorial Stadium (AL),,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767489,2025,13,,,,,,,,Provost Umphrey Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767284,2025,13,,,,,,,,Greater Zion Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767088,2025,13,,,,,,,,Kibbie Dome,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401752779,2025,13,,,,,,,,Williams-Brice Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401754605,2025,13,,,,,,,,"Memorial Stadium (Clemson, SC)",,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767247,2025,13,,,,,,,,Estes Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767068,2025,13,,,,,,,,Alex G. Spanos Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401761659,2025,13,,,,,,,,Bobcat Stadium (TX),,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767276,2025,13,,,,,,,,"Memorial Stadium (Stephenville, TX)",,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767467,2025,13,,,,,,,,Robert and Janet Vackar Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401760415,2025,13,,,,,,,,Falcon Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401754599,2025,13,,,,,,,,Stanford Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401752777,2025,13,,,,,,,,Tiger Stadium (LA),,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401760417,2025,13,,,,,,,,Valley Children's Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
