id,season,week,home_team,away_team,season_type
400869164,2016,12,Colorado,Washington State,regular
400869496,2016,12,North Carolina,The Citadel,regular
400869250,2016,12,Wyoming,San Diego State,regular
400869603,2016,12,Kansas,Texas,regular
400868955,2016,12,Notre Dame,Virginia Tech,regular
400869249,2016,12,Nevada,Utah State,regular
400869063,2016,12,South Carolina,Western Carolina,regular
400922541,2016,12,East Carolina,Navy,regular
400869060,2016,12,Kentucky,Austin Peay,regular
400869850,2016,12,New Mexico State,Texas State,regular
400869166,2016,12,California,Stanford,regular
400869413,2016,12,North Texas,Southern Miss,regular
400869412,2016,12,Florida Atlantic,Old Dominion,regular
400869251,2016,12,Fresno State,Hawai'i,regular
400869411,2016,12,Florida International,Marshall,regular
400869565,2016,12,SMU,South Florida,regular
400869491,2016,12,Wake Forest,Clemson,regular
400869062,2016,12,Mississippi State,Arkansas,regular
400925661,2016,12,South Alabama,Presbyterian,regular
400869056,2016,12,Alabama,Chattanooga,regular
400869057,2016,12,Auburn,Alabama A&M,regular
400869162,2016,12,Washington,Arizona State,regular
400869641,2016,12,Rutgers,Penn State,regular
400869617,2016,12,West Virginia,Oklahoma,regular
400869066,2016,12,Vanderbilt,Ole Miss,regular
400869564,2016,12,UCF,Tulsa,regular
400869248,2016,12,Colorado State,New Mexico,regular
400869247,2016,12,San José State,Air Force,regular
400869163,2016,12,UCLA,USC,regular
400869161,2016,12,Oregon State,Arizona,regular
400869337,2016,13,Eastern Michigan,Central Michigan,regular
400869336,2016,13,Miami (OH),Ball State,regular
400869335,2016,13,Ohio,Akron,regular
400869067,2016,13,Texas A&M,LSU,regular
400869568,2016,13,Memphis,Houston,regular
400869339,2016,13,Kent State,Northern Illinois,regular
400869497,2016,13,North Carolina,NC State,regular
400869338,2016,13,Bowling Green,Buffalo,regular
400869073,2016,13,Missouri,Arkansas,regular
400869699,2016,13,Iowa,Nebraska,regular
400869168,2016,13,Washington State,Washington,regular
400869252,2016,13,Air Force,Boise State,regular
400869632,2016,13,Texas,TCU,regular
400869418,2016,13,Southern Miss,Louisiana Tech,regular
400869340,2016,13,Western Michigan,Toledo,regular
400868885,2016,13,Texas Tech,Baylor,regular
400869567,2016,13,Tulsa,Cincinnati,regular
400869167,2016,13,Arizona,Arizona State,regular
400869700,2016,13,Indiana,Purdue,regular
400869071,2016,13,Louisville,Kentucky,regular
400869604,2016,13,Kansas State,Kansas,regular
400869642,2016,13,Maryland,Rutgers,regular
400869701,2016,13,Northwestern,Illinois,regular
400869501,2016,13,Virginia Tech,Virginia,regular
400869569,2016,13,South Florida,UCF,regular
400869070,2016,13,Georgia,Georgia Tech,regular
400869650,2016,13,Ohio State,Michigan,regular
400869852,2016,13,Louisiana,Arkansas State,regular
400869500,2016,13,Pittsburgh,Syracuse,regular
400869498,2016,13,Wake Forest,Boston College,regular
400869702,2016,13,Penn State,Michigan State,regular
400869703,2016,13,Wisconsin,Minnesota,regular
400869572,2016,13,SMU,Navy,regular
400869072,2016,13,Ole Miss,Mississippi State,regular
400869853,2016,13,Idaho,South Alabama,regular
400869255,2016,13,Fresno State,San José State,regular
400869499,2016,13,Miami,Duke,regular
400869596,2016,13,Iowa State,West Virginia,regular
400869416,2016,13,Old Dominion,Florida International,regular
400868956,2016,13,USC,Notre Dame,regular
400869068,2016,13,Alabama,Auburn,regular
400869851,2016,13,New Mexico State,App State,regular
400869256,2016,13,UNLV,Nevada,regular
400869854,2016,13,Texas State,Troy,regular
400869420,2016,13,UTEP,North Texas,regular
400869171,2016,13,Oregon State,Oregon,regular
400869570,2016,13,UConn,Tulane,regular
400869417,2016,13,Middle Tennessee,Florida Atlantic,regular
400869169,2016,13,California,UCLA,regular
400869415,2016,13,UTSA,Charlotte,regular
400869419,2016,13,Marshall,Western Kentucky,regular
400869075,2016,13,Vanderbilt,Tennessee,regular
400869571,2016,13,Temple,East Carolina,regular
400869074,2016,13,Clemson,South Carolina,regular
400869170,2016,13,Colorado,Utah,regular
400869069,2016,13,Florida State,Florida,regular
400869172,2016,13,Stanford,Rice,regular
400869253,2016,13,San Diego State,Colorado State,regular
400868933,2016,13,BYU,Utah State,regular
400869254,2016,13,New Mexico,Wyoming,regular
400868967,2016,13,Hawai'i,Massachusetts,regular
400926941,2016,14,Ohio,Western Michigan,regular
400926942,2016,14,Washington,Colorado,regular
400926947,2016,14,Navy,Temple,regular
